viReference,viCodeInsee,viCodePostal,viVille,viLambertX,viLambertY
5526,16261,16260,Les Pins,495865,6528995
5527,16262,16170,Plaizac,457500,6521502
5528,16263,16250,Plassac-rouffiac,471354,6496522
5529,16264,16490,Pleuville,506901,6558635
5530,16265,16250,Porcheresse,467900,6487761
5531,16266,16700,Pougné,491003,6545826
5532,16267,16190,Poullignac,463782,6482360
5533,16268,16700,Poursac,487019,6542630
5534,16269,16110,Pranzac,493717,6511288
5535,16270,16150,Pressignac,523799,6528128
5536,16271,16400,Puymoyen,480291,6506198
5537,16272,16230,Puyréaux,484383,6533833
5538,16273,16240,Raix,477157,6548538
5539,16274,16110,Rancogne,497717,6514489
5540,16275,16140,Ranville-breuillaud,458158,6538147
5541,16276,16360,Reignac,452145,6485039
5542,16277,16200,Réparsac,448864,6519627
5543,16278,16370,Richemont,437938,6518972
5544,16279,16210,Rioux-martin,464713,6465654
5545,16280,16110,Rivières,494015,6520168
5546,16281,16110,La Rochefoucauld,496272,6517870
5547,16282,16110,La Rochette,491948,6528015
5548,16283,16320,Ronsenac,483640,6490522
5549,16284,16210,Rouffiac,471066,6467638
5550,16285,16320,Rougnac,493195,6495750
5551,16286,16170,Rouillac,461513,6524679
5552,16288,16270,Roumazières,512296,6532913
5553,16289,16310,Roussines,514895,6516169
5554,16290,16220,Rouzède,509453,6516336
5555,16291,16600,Ruelle-sur-touvre,484419,6512719
5556,16292,16700,Ruffec,483423,6550535
5557,16293,16310,St-adjutory,504187,6522057
5558,16294,16190,St-amant,477073,6481866
5559,16295,16330,St-amant-de-boixe,477124,6526314
5560,16296,16230,St-amant-de-bonnieure,490586,6533617
5561,16298,16170,St-amant-de-nouère,466822,6521141
5562,16299,16100,Saint-andré,435654,6520182
5563,16300,16230,St-angeau,488959,6531451
5564,16301,16300,St-aulais-la-chapelle,461651,6487999
5565,16302,16210,St-avit,468550,6463287
5566,16303,16300,St-bonnet,457876,6491480
5567,16304,16100,St-brice,444748,6514239
5568,16307,16230,St-ciers-sur-bonnieure,485081,6531586
5569,16308,16450,St-claud,503873,6536511
5570,16312,16170,St-cybardeaux,465353,6523419
5571,16313,16440,Saint-estèphe,467663,6502217
5572,16314,16190,St-eutrope,474809,6484171
5573,16316,16130,St-fort-sur-le-né,442728,6503209
5574,16317,16140,St-fraigne,467666,6543335
5575,16318,16460,St-front,488375,6537027
5576,16319,16250,Saint-genis-de-blanzac,467900,6487761
5577,16320,16570,St-genis-d'hiersac,469153,6521053
5578,16321,16700,St-georges,488644,6544796
5579,16322,16500,St-germain-de-confolens,520637,6552661
5580,16323,16380,St-germain-de-montbron,499019,6506668
5581,16324,16700,Saint-gervais,494872,6545695
5582,16325,16700,St-gourson,492438,6542444
5583,16326,16230,St-groux,480626,6537300
5584,16327,16300,Saint-hilaire,452368,6490587
5585,16328,16190,St-laurent-de-belzagot,474647,6479731
5586,16329,16450,St-laurent-de-céris,504825,6542035
5587,16330,16100,St-laurent-de-cognac,435511,6516853
5588,16331,16480,St-laurent-des-combes,467482,6476663
5589,16333,16210,Sainte-marie,468757,6468836
5590,16335,16700,St-martin-du-clocher,479678,6554002
5591,16336,16260,St-mary,495939,6531214
5592,16337,16500,St-maurice-des-lions,521924,6543736
5593,16340,16720,St-même-les-carrières,454726,6510499
5594,16341,16470,St-michel,474183,6509753
5595,16342,16300,St-palais-du-né,444928,6499783
5596,16343,16130,St-preuil,452947,6505013
5597,16344,16110,St-projet-st-constant,493941,6517948
5598,16345,16150,St-quentin-sur-charente,519919,6528240
5599,16346,16210,St-quentin-de-chalais,470283,6467667
5600,16348,16290,St-saturnin,470375,6512116
5601,16349,16200,Ste-sévère,448955,6521846
5602,16350,16390,St-séverin,484582,6472709
5603,16351,16120,St-simeux,463980,6507913
5604,16352,16120,St-simon,460952,6510253
5605,16353,16220,St-sornin,500051,6514412
5606,16354,16480,Ste-souline,463697,6480141
5607,16355,16370,St-sulpice-de-cognac,437398,6524553
5608,16356,16460,St-sulpice-de-ruffec,492400,6541334
5609,16357,16480,St-vallier,461008,6471353
5610,16358,16710,St-yrieix-sur-charente,475861,6513025
5611,16359,16130,Salles-d'angles,440578,6507745
5612,16360,16300,Salles-de-barbezieux,455403,6488243
5613,16361,16700,Salles-de-villefagnan,480825,6542849
5614,16362,16190,Salles-lavalette,483250,6479423
5615,16363,16420,Saulgond,528054,6541338
5616,16364,16310,Sauvagnac,517327,6519429
